国A,国B,接続種別
コンゴ民主共和国,コンゴ共和国,陸上隣接
コンゴ民主共和国,ザンビア,陸上隣接
コンゴ民主共和国,タンザニア,陸上隣接
コンゴ民主共和国,ルワンダ,陸上隣接
コンゴ民主共和国,南スーダン,陸上隣接
コートジボワール,ガーナ,陸上隣接
コートジボワール,ギニア,陸上隣接
コートジボワール,マリ,陸上隣接
コートジボワール,リベリア,陸上隣接
サウジアラビア,イエメン,陸上隣接
ザンビア,ジンバブエ,陸上隣接
シリア,トルコ,陸上隣接
ジブチ,エチオピア,陸上隣接
ジブチ,エリトリア,陸上隣接
ジブチ,ソマリア,陸上隣接
ジョージア,トルコ,陸上隣接
ジョージア,ロシア,陸上隣接
スイス,イタリア,陸上隣接
スイス,ドイツ,陸上隣接
スイス,フランス,陸上隣接
スイス,リヒテンシュタイン,陸上隣接
スペイン,フランス,陸上隣接
スペイン,ポルトガル,陸上隣接
スペイン,モロッコ,陸上隣接
スリランカ,モルディブ,海峡・近接海域
スロバキア,ウクライナ,陸上隣接
スーダン,チャド,陸上隣接
スーダン,南スーダン,陸上隣接
セントルシア,セントビンセント及びグレナディーン諸島,海峡・近接海域
ソロモン諸島,バヌアツ,海峡・近接海域
タジキスタン,ウズベキスタン,陸上隣接
タンザニア,ウガンダ,陸上隣接
タンザニア,ザンビア,陸上隣接
チェコ,スロバキア,陸上隣接
チェコ,ドイツ,陸上隣接
チェコ,ポーランド,陸上隣接
チリ,ペルー,陸上隣接
ツバル,サモア,海峡・近接海域
トリニダード・トバゴ,ベネズエラ,海峡・近接海域
トルクメニスタン,ウズベキスタン,陸上隣接
トンガ,サモア,海峡・近接海域
ドイツ,オランダ,陸上隣接
ドイツ,デンマーク,陸上隣接
ドイツ,フランス,陸上隣接
ドイツ,ポーランド,陸上隣接
ドイツ,ルクセンブルク,陸上隣接
ドミニカ共和国,ジャマイカ,海峡・近接海域
ドミニカ共和国,ハイチ,陸上隣接
ドミニカ国,セントルシア,海峡・近接海域
ナイジェリア,チャド,陸上隣接
ナミビア,ザンビア,陸上隣接
ナミビア,南アフリカ,陸上隣接
ニジェール,チャド,陸上隣接
ニジェール,ナイジェリア,陸上隣接
ノルウェー,スウェーデン,陸上隣接
ノルウェー,ロシア,陸上隣接
ハンガリー,ウクライナ,陸上隣接
ハンガリー,スロバキア,陸上隣接
ハンガリー,スロベニア,陸上隣接
ハンガリー,セルビア,陸上隣接
ハンガリー,ルーマニア,陸上隣接
バハマ,アメリカ合衆国,海峡・近接海域
バハマ,キューバ,海峡・近接海域
バルバドス,セントビンセント及びグレナディーン諸島,海峡・近接海域
バルバドス,セントルシア,海峡・近接海域
バングラデシュ,インド,陸上隣接
バングラデシュ,ミャンマー,陸上隣接
